Name,Value
Héctor Fort,€10.00m  
Mikayil Faye,€10.00m  
Javi Puado,€8.00m  
Monchu,€5.00m  
Stipe Biuk,€4.00m  
Carlos Martín,€3.50m  
Martin Braithwaite,€3.20m  
Víctor Mollejo,€3.00m  
Enzo Boyomo,€3.00m  
Álvaro Aguado,€2.80m  
Jon Karrikaburu,€2.50m  
Miguel de la Fuente,€2.50m  
Brian Oliván,€2.50m  
Edu Expósito,€2.50m  
José Gragera,€2.50m  
Álex Valle,€2.50m  
Roberto López,€2.50m  
Marc Casadó,€2.50m  
Raúl Moro,€2.50m  
Pere Milla,€2.40m  
Manu Fuster,€2.40m  
Dani Raba,€2.20m  
Víctor Meseguer,€2.20m  
Stanko Juric,€2.20m  
Unai Vencedor,€2.20m  
Diego Conde,€2.00m  
Haissem Hassan,€2.00m  
Kenedy,€2.00m  
Adrià Altimira,€2.00m  
Germán Valera,€2.00m  
Borja Garcés,€2.00m  
Álvaro Tejero,€2.00m  
Omar El Hilali,€2.00m  
Marcos André,€2.00m  
Diego García,€2.00m  
Pol Lozano,€2.00m  
Yvan Neyou,€2.00m  
Fernando Pacheco,€2.00m  
Jofre Carreras,€1.80m  
Fernando Calero,€1.80m  
Abel Bretones,€1.80m  
Leo Román,€1.80m  
Sergio González,€1.80m  
Iker Losada,€1.80m  
Luis Pérez,€1.60m  
Ilyas Chaira,€1.60m  
César Tárrega,€1.50m  
Javi Sánchez,€1.50m  
Juan Cruz,€1.50m  
Hugo Álvarez,€1.50m  
José Carlos Lazo,€1.50m  
Mamadou Sylla,€1.50m  
Amath Ndiaye,€1.50m  
Viti Rozada,€1.50m  
Juan Soriano,€1.50m  
Julen Lobete,€1.50m  
Manu Vallejo,€1.50m  
Pau Víctor,€1.50m  
Carlos Romero,€1.50m  
Enric Franquesa,€1.50m  
Jorge Sáenz,€1.50m  
Darko Brasanac,€1.40m  
Nico Serrano,€1.40m  
Seydouba Cissé,€1.20m  
Santiago Mouriño,€1.20m  
